season,date,opponent,venue,score,outcome,scorers,competition,cup_round,game_no,comp_game_no,goals_for,goals_against,attendance,manager,referee,game_type,points,ssn_pts,ppg
1952/53,1952-08-23T00:00:00Z,Ilfracombe Town,A,0-3,L,NA,WL1,NA,1,1,0,3,NA,NA,NA,league,0,0,0
1952/53,1952-08-27T00:00:00Z,Peasedown Miners Welfare,H,1-2,L,Fielding,WL1,NA,2,2,1,2,NA,NA,NA,league,0,0,0
1952/53,1952-08-30T00:00:00Z,Yeovil Town Reserves,H,3-2,W,"Bird 2, Wood",WL1,NA,3,3,3,2,NA,NA,NA,league,3,3,1
1952/53,1952-09-03T00:00:00Z,Peasedown Miners Welfare,A,0-3,L,NA,WL1,NA,4,4,0,3,NA,NA,NA,league,0,3,0.75
1952/53,1952-09-06T00:00:00Z,Clevedon,A,0-2,L,NA,WL1,NA,5,5,0,2,NA,NA,NA,league,0,3,0.6
1952/53,1952-09-11T00:00:00Z,Stonehouse Reserves,A,3-6,L,Unknown,WL1,NA,6,6,3,6,NA,NA,NA,league,0,3,0.5
1952/53,1952-09-13T00:00:00Z,Salisbury,A,1-7,L,Lear,FAC,P,7,1,1,7,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-20T00:00:00Z,Shepton Mallet Town,H,2-2,D,Ferris 2,FAAm,P,8,1,2,2,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-27T00:00:00Z,Shepton Mallet Town,A,0-1,L,NA,FAAm,1Q,9,2,0,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-10-11T00:00:00Z,Poole Town,H,2-3,L,Lear 2,WL1,NA,10,7,2,3,NA,NA,NA,league,0,3,0.42857142857142855
1952/53,1952-11-08T00:00:00Z,Bristol Rovers Colts,A,0-6,L,NA,WL1,NA,11,8,0,6,NA,NA,NA,league,0,3,0.375
1952/53,1952-11-15T00:00:00Z,Cinderford Town,H,4-1,W,"Heal 2, Ferris, Bird",WL1,NA,12,9,4,1,NA,NA,NA,league,3,6,0.6666666666666666
1952/53,1952-11-22T00:00:00Z,Ilfracombe Town,H,1-5,L,Jeans,WL1,NA,13,10,1,5,NA,NA,NA,league,0,6,0.6
1952/53,1952-12-13T00:00:00Z,Peasedown Miners Welfare,H,2-7,L,"Hobbs, Bird",SSC,2,14,1,2,7,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-12-20T00:00:00Z,Minehead,H,1-1,D,Bird,WL1,NA,15,11,1,1,NA,NA,NA,league,1,7,0.6363636363636364
1952/53,1952-12-25T00:00:00Z,Radstock Town,H,3-1,W,"Gibbs, Heal, Bird",WL1,NA,16,12,3,1,NA,NA,NA,league,3,10,0.8333333333333334
1952/53,1952-12-26T00:00:00Z,Frome Town,A,1-1,D,Gane,WL1,NA,17,13,1,1,NA,NA,NA,league,1,11,0.8461538461538461
1952/53,1952-12-27T00:00:00Z,Frome Town,H,2-1,W,"Hobbs, Heal",WL1,NA,18,14,2,1,NA,NA,NA,league,3,14,1
1952/53,1953-01-03T00:00:00Z,Yeovil Town Reserves,A,1-0,W,Bird,WL1,NA,19,15,1,0,NA,NA,NA,league,3,17,1.1333333333333333
1952/53,1953-01-10T00:00:00Z,Bristol City Colts,H,0-2,L,NA,WL1,NA,20,16,0,2,NA,NA,NA,league,0,17,1.0625
1952/53,1953-01-17T00:00:00Z,Chippenham Town Reserves,A,2-0,W,"Ferris, Heal",WL1,NA,21,17,2,0,NA,NA,NA,league,3,20,1.1764705882352942
1952/53,1953-01-24T00:00:00Z,Trowbridge Town Reserves,H,0-2,L,NA,WL1,NA,22,18,0,2,NA,NA,NA,league,0,20,1.1111111111111112
1952/53,1953-02-07T00:00:00Z,Hoffman Athletic,A,2-2,D,"Lear, Hobbs",WL1,NA,23,19,2,2,NA,NA,NA,league,1,21,1.105263157894737
1952/53,1953-02-14T00:00:00Z,Bristol Rovers Colts,H,0-4,L,NA,WL1,NA,24,20,0,4,NA,NA,NA,league,0,21,1.05
1952/53,1953-02-21T00:00:00Z,Bristol City Colts,A,0-6,L,NA,WL1,NA,25,21,0,6,NA,NA,NA,league,0,21,1
1952/53,1953-02-28T00:00:00Z,Weston-super-Mare,H,6-2,W,"Tarr 3, Heal 3",WL1,NA,26,22,6,2,NA,NA,NA,league,3,24,1.0909090909090908
1952/53,1953-03-07T00:00:00Z,Trowbridge Town Reserves,A,1-7,L,Bird,WL1,NA,27,23,1,7,NA,NA,NA,league,0,24,1.0434782608695652
1952/53,1953-03-21T00:00:00Z,Minehead,A,2-3,L,"Bird, Hobbs",WL1,NA,28,24,2,3,NA,NA,NA,league,0,24,1
1952/53,1953-03-28T00:00:00Z,Hoffman Athletic,H,2-0,W,Tarr 2,WL1,NA,29,25,2,0,NA,NA,NA,league,3,27,1.08
1952/53,1953-04-03T00:00:00Z,Radstock Town,A,2-2,D,NA,WL1,NA,30,26,2,2,NA,NA,NA,league,1,28,1.0769230769230769
1952/53,1953-04-06T00:00:00Z,Weston-super-Mare,A,2-0,W,"Hill, Tarr",WL1,NA,31,27,2,0,NA,NA,NA,league,3,31,1.1481481481481481
1952/53,1953-04-11T00:00:00Z,Gloucester City Reserves,H,0-2,L,Heal 2,WL1,NA,32,28,0,2,NA,NA,NA,league,0,31,1.1071428571428572
1952/53,1953-04-18T00:00:00Z,Chippenham Town Reserves,H,4-6,L,NA,WL1,NA,33,29,4,6,NA,NA,NA,league,0,31,1.0689655172413792
