date,player_name,goals_scored,penalty,own_goal
1952-08-27T00:00:00Z,Gerry Fielding,1,0,0
1952-08-30T00:00:00Z,Bird,2,0,0
1952-08-30T00:00:00Z,Wood,1,0,0
1952-09-11T00:00:00Z,Unknown,1,0,0
1952-09-13T00:00:00Z,Lear,1,0,0
1952-09-20T00:00:00Z,R Ferris,2,0,0
1952-10-11T00:00:00Z,Lear,2,0,0
1952-11-15T00:00:00Z,Jack Heal,2,0,0
1952-11-15T00:00:00Z,R Ferris,1,0,0
1952-11-15T00:00:00Z,Bird,1,0,0
1952-11-22T00:00:00Z,Jeans,1,0,0
1952-12-13T00:00:00Z,Hobbs,1,0,0
1952-12-13T00:00:00Z,Bird,1,0,0
1952-12-20T00:00:00Z,Bird,1,0,0
1952-12-25T00:00:00Z,Gibbs,1,0,0
1952-12-25T00:00:00Z,Jack Heal,1,0,0
1952-12-25T00:00:00Z,Bird,1,0,0
1952-12-26T00:00:00Z,Gane,1,0,0
1952-12-27T00:00:00Z,Hobbs,1,0,0
1952-12-27T00:00:00Z,Jack Heal,1,0,0
1953-01-03T00:00:00Z,Bird,1,0,0
1953-01-17T00:00:00Z,R Ferris,1,0,0
1953-01-17T00:00:00Z,Jack Heal,1,0,0
1953-02-07T00:00:00Z,Lear,1,0,0
1953-02-07T00:00:00Z,Hobbs,1,0,0
1953-02-28T00:00:00Z,Ray Tarr,3,0,0
1953-02-28T00:00:00Z,Jack Heal,3,0,0
1953-03-07T00:00:00Z,Bird,1,0,0
1953-03-21T00:00:00Z,Bird,1,0,0
1953-03-21T00:00:00Z,Hobbs,1,0,0
1953-03-28T00:00:00Z,Ray Tarr,2,0,0
1953-04-06T00:00:00Z,Hill,1,0,0
1953-04-06T00:00:00Z,Ray Tarr,1,0,0
1953-04-11T00:00:00Z,Jack Heal,2,0,0
1953-04-22T00:00:00Z,Bird,2,0,0
1953-04-22T00:00:00Z,Minall,1,0,0
1953-04-22T00:00:00Z,Ray Tarr,1,0,0
1953-04-27T00:00:00Z,Unknown,1,0,0
1953-04-29T00:00:00Z,Hobbs,2,0,0
1953-04-29T00:00:00Z,Bird,2,0,0
1953-04-29T00:00:00Z,Ray Tarr,1,0,0
1953-08-26T00:00:00Z,Ray Tarr,1,0,0
1953-08-29T00:00:00Z,Knowles,1,0,0
1953-09-02T00:00:00Z,Knowles,1,0,0
1953-09-12T00:00:00Z,Wally Ford,2,0,0
1953-09-12T00:00:00Z,Payne,1,0,0
1953-09-19T00:00:00Z,Gerry Fielding,1,0,0
1953-09-19T00:00:00Z,England,1,0,0
1953-09-19T00:00:00Z,Payne,1,0,0
1953-09-26T00:00:00Z,Wally Ford,2,0,0
1953-09-26T00:00:00Z,Woodland,1,0,0
1953-09-26T00:00:00Z,Gerry Fielding,1,0,0
1953-09-26T00:00:00Z,Lear,1,0,0
1953-10-03T00:00:00Z,Gerry Fielding,1,0,0
1953-10-03T00:00:00Z,Wally Ford,3,0,0
1953-10-17T00:00:00Z,Payne,1,0,0
1953-10-17T00:00:00Z,Lear,1,0,0
1953-10-17T00:00:00Z,Woodland,2,0,0
1953-10-17T00:00:00Z,OG,1,0,1
1953-10-24T00:00:00Z,Wally Ford,2,0,0
1953-10-31T00:00:00Z,Terry Compton,3,0,0
1953-11-07T00:00:00Z,Wally Ford,1,0,0
1953-11-07T00:00:00Z,Terry Compton,1,0,0
1953-11-14T00:00:00Z,Wally Ford,1,0,0
1953-11-14T00:00:00Z,Woodland,1,0,0
1953-11-21T00:00:00Z,Wally Ford,1,0,0
1953-11-21T00:00:00Z,Gerry Fielding,1,0,0
1953-11-28T00:00:00Z,Woodland,1,0,0
1953-11-28T00:00:00Z,Lear,1,0,0
1953-12-05T00:00:00Z,Terry Compton,4,0,0
1953-12-05T00:00:00Z,Wally Ford,2,0,0
1953-12-05T00:00:00Z,Leslie Dix,2,0,0
1953-12-12T00:00:00Z,Woodland,1,0,0
1953-12-12T00:00:00Z,Field,1,0,0
